Electrical Gadgets,Company Name,Years of Warranty,Year of Manufacturing,Years of Expiry,Radiation Generated
Laptop,Solutions Group,5,2023,6,Low
Smartwatch,Enterprises Group,3,2020,3,Minimal
Smartphone,Enterprises Ltd,4,2018,2,Moderate
Laptop,Solutions Corp,1,2022,4,Minimal
Headphones,Tech Inc,1,2023,7,Minimal
Tablet,Gadget Group,3,2022,7,High
Smartphone,Systems Corp,3,2024,2,Low
Laptop,Tech Corp,2,2022,2,Moderate
Headphones,Systems Group,1,2023,5,Low
Smartwatch,Electronics Group,4,2023,3,Minimal
Smartwatch,Electronics Corp,5,2020,5,Moderate
Laptop,Solutions Group,2,2023,4,High
Smartwatch,Electronics Inc,3,2021,7,Minimal
Tablet,Systems Group,1,2022,3,Moderate
Laptop,Tech Group,5,2023,7,Low
Smartwatch,Innovations Corp,3,2022,2,Minimal
Smartwatch,Enterprises Corp,2,2020,5,Minimal
Laptop,Electronics Inc,3,2021,5,High
Laptop,Gadget Corp,3,2018,2,High
Smartphone,Enterprises Group,4,2019,3,Minimal
Smartphone,Gadget Ltd,4,2022,4,Minimal
Tablet,Tech Ltd,3,2023,4,High
Laptop,Enterprises Ltd,5,2024,7,Low
Headphones,Gadget Inc,5,2023,2,Moderate
Smartwatch,Systems Group,3,2024,6,Low
Laptop,Innovations Ltd,2,2024,3,High
Headphones,Innovations Corp,5,2024,2,Minimal
Tablet,Tech Ltd,5,2018,6,High
Smartwatch,Enterprises Corp,3,2019,6,High
Smartwatch,Systems Inc,4,2019,4,Moderate
Smartphone,Enterprises Inc,1,2021,3,Moderate
Laptop,Innovations Group,1,2021,4,Minimal
Smartphone,Systems Corp,3,2023,3,High
Laptop,Enterprises Ltd,4,2022,7,High
Laptop,Electronics Group,2,2020,5,Low
Laptop,Gadget Ltd,2,2021,5,High
Smartphone,Electronics Corp,4,2018,7,Low
Tablet,Tech Group,4,2024,4,Minimal
Laptop,Electronics Corp,4,2024,4,Low
Smartwatch,Gadget Ltd,1,2019,8,Low
Smartwatch,Enterprises Inc,5,2021,3,High
Tablet,Systems Inc,2,2021,3,Low
Smartphone,Solutions Inc,5,2023,2,Moderate
Tablet,Gadget Corp,2,2023,8,Minimal
Laptop,Solutions Group,5,2019,4,High
Laptop,Innovations Inc,4,2020,5,Moderate
Headphones,Systems Ltd,2,2019,8,Low
